username,bio,location,target_population_ofir,target_population_matan,target_population,locals_vs_diaspora_ofir,locals_vs_diaspora_matan,locals_vs_diaspora,person_vs_organization_ofir,person_vs_organization_matan,person_vs_organization,comments_ofir,comments_matan,final_comments,source_consensus
JacobsYechiel,defeating anti israel hate with comedy. sharing the truth through laughter and humor!,,2,0,0,0,0,0,1,1,1,קומיקאי מחול אוהב ישראל אך לא ידוע אם ישראלי,,,manual_resolution
MikeE_3_14,"dad datascience mathaddict genai llms diffusionmodels gymlover

rightwing liberal anti-socialism anti-islamism russiadelendaest slavaukraine antiwoke",greenland,1,0,1,1,0,1,1,1,1,ישראלי פרסומים בעברית,,,manual_resolution
NagrelaEditores,publicamos libros de temática judía en español. nuestro objetivo es fomentar el conocimiento de la historia tradiciones y cultura judía y el estado de israel.,españa,0,0,0,0,0,0,0,1,0,מוציאים לאור ספרים בספרדית על מדינת ישראל אך לא מהארץ,,,manual_resolution
IsraelinSV,bienvenidos a nuestra cuenta oficial en twitter del estado de,san salvador el salvador,0,0,0,0,0,0,0,1,0,עמוד רשמי של ישראל באך סלוודור,,,manual_resolution
IsraelinBG,official account of the embassy of israel in bulgaria,sofia bulgaria,1,0,0,0,0,0,0,0,0,שגרירות ישראל בבולגריה,,,manual_resolution
MBD_real,• official account of singer/songwriter mordechai ben david •,sea gate brooklyn,1,0,1,1,0,0,1,1,1,עשה עלייה ב2018 לארץ יהודי דתי שגר בארצות הברית הרבה זמן זמר שם,,,manual_resolution
LTC_Shoshani,official account of idf international spokesperson lieutenant colonel nadav shoshani,israel,2,1,1,2,1,1,2,1,1,לא נמצא משתמש,,,manual_resolution
IsraelinPH,official account of the embasssy of israel,manila,1,0,0,0,0,0,0,0,0,שגרירות ישראל בפיליפינים,,,manual_resolution
boaz_tal,living on the edge and enjoying it.,london,1,0,1,0,0,0,1,1,1,ישראלי גר בלונדון,,,manual_resolution
liberty667,"if you don’t believe in freedom for people you dislike you probably don’t believe in it at all-m.taibbi 
i'm an ambulance my pronouns are we/woo",children cannot consent,0,0,0,0,0,0,1,0,1,לא מהארץ,,,manual_resolution
AlmostFamousUSA,just a chick who thinks men don’t belong in women’s sports covid started in a lab and that liberalism is a mental disease. i’m occasionally funny.,your dreams,2,0,2,2,0,2,2,1,2,משתמש לא נמצא,,,manual_resolution
Tawane_A,consultant|views are my own & don’t represent any institution/outlet. retweets ≠ endorsements.,nairobi |mogadishu,2,0,0,2,0,0,2,1,1,משתמש לא נמצא,,,manual_resolution
DuduLagziel,titles don't mean a thing. trust me i'm a phd. (,israel,1,1,1,0,1,0,1,1,1,ישראלי לא גר בארץ(טורנטו),,,manual_resolution
TammyGanRos,i don't want clever conversation i never want to work that hard,,1,1,1,0,1,0,1,1,1,ישראלית גרה באיטליה,,,manual_resolution
simon_schama,the past is never dead. it's not even past (faulkner) . historian writer art critic cook bbc presenter but not necessarily in that order,,2,0,0,0,0,0,1,1,1,לא יודע אם ישראלי אך ידוע שלא גר בארץ,,,manual_resolution
HotBiMommy1,"a naughty mid 40s married bi mommy...
trying to be myself hope you find it sexy",israel,0,1,1,0,1,1,1,1,1,לא ישראלית לא גרה בארץ,,,manual_resolution
ProjectLincoln,"""you cannot escape the responsibility of tomorrow by evading it today.” – abraham lincoln",the united states of america,0,0,0,0,0,0,0,1,0,ועדה פוליטית אמרקאית,,,manual_resolution
yuvadm,in the words of archimedes give me a long enough lever and a place to rest it - or i will kill one hostage every hour.,127.0.0.1,2,1,1,0,1,0,0,1,1,מאירופה לא ידוע אם ישראלי(חוץ מזה שהשם ישראלי אין עוד שום פרטים,,,manual_resolution
elcoconut12,vine a reírme de cuánto soroco hay acá!!! buuu soy el coco,tel aviv,2,1,2,2,1,2,1,1,2,לא יודע מצד אחד החשבון מוצר בקולומביה מצד שני כתוב שהוא גר בתל אביב וכל הפרסומים בספרדית,,,manual_resolution
GOsatinsky,"7 ימים ידיעות אחרונות
|
לשעבר 'המקור'
guy-as@yedioth.co.il",,1,1,1,1,1,1,1,0,1,ישראלי שגר בישראל,,,manual_resolution
kipodist,גבר שמנמן וקוצני עם זין קטן,israel,2,1,2,2,1,2,2,1,2,חשבון לא נמצא,,,manual_resolution
danielamram3,independent journalist | israel | politics | exposing scams | shaming violence | daniel amram uncensored,united states,1,0,1,1,0,0,1,1,1,ישראלי שגר בישראל,,,manual_resolution
erikb0305,,ישראל,2,1,1,2,1,1,2,1,1,משתמש לא נמצא,,,manual_resolution
michellexgolden,צוכה בוחקת,21,0,1,0,0,1,0,1,1,1,לא מהארץ,,,manual_resolution
goodhertz,modern interfaces excellent audio,los angeles ca,0,0,0,0,0,0,0,1,0,חברת ממשקים,,,manual_resolution
aaddams,האזין פעם לפודקסט של שעתיים וחצי על מברשות שיניים חשמליות. כותב סדרות למגירה,,1,1,1,1,1,1,1,1,1,ישראלי שלא גר בארץ(פרסומים בעברית וביו בעברית אך כתוב שהחשבון נמצא בדנמרק),,,manual_resolution
shimonba,cmo & co-founder at,mars,1,1,1,0,1,1,1,1,1,לפי הנתונים של טוויטר לא משתמש אתר בארץ אך הרבה פוסטם בעברית,,,manual_resolution
