username,bio,location,predicted_class,confidence_level,prob_0,prob_1,prob_2,uncertainty_score,target_population,locals_vs_diaspora,person_vs_organization,comments
brandoneliscott,explorer. photographer. herbalist. artist. i showcase the many moods of nature so others can see the myriad of reasons to protect the natural world.,ohio usa,target,0.3348,0.3343,0.3348,0.3309,0.6652,0,0,1,בן אדם פרטי מארצות הברית
GermanosPeter,lawyer conservative catholic j.d.writer of several novels and law studies main interest public liberties leadership in conflict. الله قوة فاعلة في هذا الكون,beirut,non_target,0.3348,0.3348,0.3321,0.3331,0.6652,0,0,1,בן אדם פרטי מלבנון
liorz,i'm a father crowd-wisdom researcher author professional speaker and sunset hunter.  i write in english and hebrew. if you don't get it then it's in hebrew:),israel,target,0.335,0.3329,0.335,0.3321,0.665,1,1,1,בן אדם פרטי מישראל
dmauas,"and we won't give it a name.
we'll just call it this",israel,target,0.335,0.3329,0.335,0.3321,0.665,1,1,1,בן אדם פרטי מישראל
rubenanguiano,arquitecto constructor diseñador escritor emprendedor lector melómano runner. opiniones informativas no constituyen asesoría financiera ni de inversión.,juárez cuauhtémoc,target,0.3362,0.3359,0.3362,0.3279,0.6638,0,0,1,בן אדם פרטי לא מישראל
danieldor8,no words.,,target,0.3362,0.3359,0.3362,0.3279,0.6638,1,1,1,אישה מישראל(כתוב בפוסטים)
AnnePolichetti,no tolerance for ignorance if everyone is thinking alike then somebody isn't thinking,delaware,target,0.3362,0.3359,0.3362,0.3279,0.6638,0,0,1,אישה פרטית לא מישראל
SimyBenarroch,sionista y anti woke no se necesita más definición,barcelona cataluña,target,0.3362,0.3359,0.3362,0.3279,0.6638,2,0,1,כתוב שמספרד אך ציונית ומדברת ספרדית לכן לא בטוח האם ישראלית או רק תומכת
SimNasr,journaliste,rt is by no means endorsing,target,0.3362,0.3359,0.3362,0.3279,0.6638,0,0,1,עיתונאי לא מהארץ
peterhimmelman,grammy & emmy award nominated singer-songwriter: film composer: award winning author of suspended by no string : founder of big muse : proud jew since 1959,new york,target,0.3362,0.3359,0.3362,0.3279,0.6638,1,0,1,גר בנויורק כתוב שיהודי גהה ויש תמונות מהילדות בפוסטים בארץ
Aline82547182,"do no harm take no shit
בייסיק ביטצ' ציצים להיט",,target,0.3362,0.3359,0.3362,0.3279,0.6638,1,1,1,ישראלית גרה בארץ
Hey_AmIwrite,"אנחה קטנה שאף אחד לא שמע מלבד המברשת והמטלית אשר ליד האח /
little women l.m. alcott

חושבת
כותבת

* no d.m *",,target,0.3362,0.3359,0.3362,0.3279,0.6638,1,1,1,ישראלית גרה בארץ
Notbackactually,no,,target,0.3362,0.3359,0.3362,0.3279,0.6638,1,1,1,ישראלי גר בארץ
