username,bio,location,target_population,locals_vs_diaspora,person_vs_organization,comments,source_consensus
Roy_Iddan,,,1,1,1,,iteration_2_consensus
RayneNGrace,,,0,0,1,,iteration_2_consensus
shirellaloom,,,1,1,1,,iteration_2_consensus
raananshaked,,,1,1,1,,iteration_2_consensus
IsraelMOH,,,1,1,0,,iteration_2_consensus
HiggsBozoEffect,,,1,0,1,,iteration_2_consensus
Haredim_Ashdod,,,1,1,0,,iteration_2_consensus
itayr2,,,1,1,1,,iteration_2_consensus
BtSIsrael,,,1,1,0,,iteration_2_consensus
rakovdan,,,2,2,1,,iteration_2_consensus
Liorsl,,,1,1,1,,iteration_2_consensus
FeaturedRegards,,,2,2,1,,iteration_2_consensus
AlonaSherf,,,1,1,1,,iteration_2_consensus
HenMazzig,,,2,0,1,,iteration_2_consensus
natalie_Zion_,,,0,0,1,,iteration_2_consensus
yoav_gro,,,1,1,1,,iteration_2_consensus
shashashayli,,,1,1,1,,iteration_2_consensus
moss_tweets_,,,0,0,1,,iteration_2_consensus
hanan_green,,,1,1,1,,iteration_2_consensus
marmeladda,,,1,1,1,,iteration_2_consensus
SteinmanTamir,,,1,1,1,,iteration_2_consensus
ElizabethRimini,,,1,1,1,,iteration_2_consensus
frederic_scheer,,,0,0,1,,iteration_2_consensus
warnerthuston,,,0,0,1,,iteration_2_consensus
The_Adams1,,,1,1,1,,iteration_2_consensus
Israellycool,,,1,1,1,,iteration_2_consensus
jk006d,,,1,2,1,,iteration_2_consensus
zalmanovitz,,,1,1,1,,iteration_2_consensus
orasetter,,,1,1,1,,iteration_2_consensus
Dudibnhmo,,,1,1,1,,iteration_2_consensus
miluimnikim,,,1,1,0,,iteration_2_consensus
orenlebovitch,,,1,1,1,,iteration_2_consensus
feministitFTW,,,1,1,0,,iteration_2_consensus
GenFlynn,,,0,0,1,,iteration_2_consensus
zionutdatit,,,1,1,0,,iteration_2_consensus
DaliaHochberg,,,1,1,1,,iteration_2_consensus
ksminnovation,,,1,1,0,,iteration_2_consensus
shwrzenberg,,,1,1,1,,iteration_2_consensus
GSzneiberg,,,0,0,1,,iteration_2_consensus
aronkalman1,,,1,1,1,,iteration_2_consensus
ExArcanaImperii,,,0,0,1,,iteration_2_consensus
PearlmanYeC,,,2,2,1,,iteration_2_consensus
